phrasing,intent,source
"Mu myaka mike ishize, ubwo nakundaga umugore wanjye, nta mpamvu n'imwe nari nzi yatumye ntakaza ingufu, ubu mfite imyaka 30 y'amavuko kandi ikibazo cyanjye kiragenda kirushaho kwiyongera. Ibi bituma ngira ibibazo bikomeye ku mutima wanjye kandi bikananiza kwiyemera kwanjye. Ibi byatumye ngira agahinda kenshi kandi ntangira gushyingiranwa. Ndarambiwe cyane kandi sinshobora kubona impamvu z'ibyo bibazo. Ndumva nshaka cyane umugore wanjye kandi nshaka kumubwira mu cyumba cyanjye cy'icumbi nk'uko nabigenzaga. Ni iki gishobora kubitera, kandi se nakora iki ku birebana na byo?",self_care_coping,amod
"Mu gihe cy'ukwezi kose, ndwara indwara yo kwiheba, kandi numva nisanzuye mu byiyumvo. Iyo numva mfite imbaraga, ndushaho kwibanda ku bintu by'ingenzi, kandi nkaba mfite imbaraga nyinshi, nkumva ubuzima bwanjye butameze neza.",sadness_low_mood,amod
"Iyo mbonye ikintu kibabaje cyangwa kibabaje, numva nshaka kwikomeretsa.",sadness_low_mood,amod
"Umuganga w'umuryango wanjye yambwiye ko mfite ikibazo cy'ihungabana n'ihungabana. Yandikiye inama yo kugira imbwa imfasha mu byiyumvo, maze mpereza umuyobozi w'inzu yanjye. Bambwiye ko ntashobora gukomeza kugira ikibazo cy'ihungabana kuko ntari mufite ubumuga.",self_care_coping,amod
"Nagerageje kubwira umugabo wanjye ko nari nihebye, ariko yankoze ku ruhande. Yambwiye ati ""buri gihe uba ufite agahinda cyangwa agahinda"". Hanyuma afata telefoni maze aranyihakana. Naramubwiye nti ""ndakwinginze ntugire icyo unenga, ibyo si byo"".",sadness_low_mood,amod
"Si byo by'ukuri kuvuga ko nishimira kuba mfite agahinda, ariko buri gihe nsanga uburyo bwo kumva uko ndi. Ntega amatwi umuzika ubabaje, nsoma inkuru ziteye agahinda, kandi mu buryo bw'amayobera, nkumva ko ari bibi. Nita ku bintu bibi mu buzima bwanjye nubwo bitaba ari ibikwiriye cyangwa nkumva ari bibi.",sadness_low_mood,amod
"Buri gihe iyo mpanganye n'ibihe bibi, mba numva mfite agahinda.",overwhelmed_identity,amod
"Ndumva nduhutse, mfite agahinda kandi nihebye, buri munsi mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora",sleep,amod
"Sinashobora no guseka cyangwa ngo mbeshye. Sinumva ibyishimo mu kintu icyo ari cyo cyose kandi sinashobora gukunda undi muntu, ndetse n'umukunzi wanjye. Rimwe na rimwe nizinukwa. Icyo mbona cyose ni ugukabya. Sinashobora kwihanganira urupfu rw'uwapfuye kandi sinari hafi y'umuryango wanjye.",self_care_coping,amod
Umukobwa wanjye yaretse kunywa inzoga maze arushaho kwiheba cyane.,self_care_coping,amod
"Ndi ingimbi. Data amaze imyaka itanu muri gereza. Biragoye, ariko mama agerageza guha ubuzima busanzwe bashiki banjye babiri, murumuna wanjye nanjye. Numva nk'aho nafashe inshingano yo kuba umubyeyi igihe nari umuto wa kabiri, kandi ntari umuntu ukomeye. Mama na bashiki banjye bavuga ko ndi umuntu urenze urugero.",sadness_low_mood,amod
"Ndi mu kigero cy'imyaka 20 mfite umugabo n'abana. Nkunda umuryango wanjye, ariko numva ntari umuntu nkunda, kandi sinzi uwo ndi we uretse mama n'umugore. Rimwe na rimwe, icyo ntekereza ni uko nacitse intege, ukuntu numva ntishimye kandi ntari mu mutego, ariko nzi ko numvaga meze nabi ntabifite. Rimwe na rimwe ndanyanga. Mfite ubuzima butangaje, kuki ntashobora kubwishimira?",overwhelmed_identity,amod
"Mfite imyaka myinshi mpanganye n'ikibazo cyo kwiheba no guhangayika, kandi nagiye mfata imiti, ariko mu gihe gishize nagiye ndushaho kwiheba.",sadness_low_mood,amod
"Hari abantu benshi bemeye kumpa inzu. Mfite ibyokurya, imyambaro n'uburezi bwo muri kaminuza, ariko sinigeze numva ko ndi uwabo. Ndetse n'igihe mba ndi kumwe n'abantu bagombye kuba bari hafi yanjye, numva meze nk'aho ndi kumwe n'incuti kandi sinjya mu rugo.",relationship_support,amod
"Ndumva mfite impungenge ku nshuti yanjye kuko ntekereza ko afite ikibazo cy'agahinda gakabije. Ibyo ntemeranyaho. Iyo ari kuvuga ku bantu kandi akababwira uko yiyumva, arirengagiza ibyo avuga. Ambwiye ko yumva afite ubusa imbere, kandi ko ibyiyumvo byonyine yumva ari uburakari n'agahinda.",sadness_low_mood,amod
"Numvaga nta cyo nshoboye gukora, ntashobora gutekereza ku kintu icyo ari cyo cyose kandi nari mfite ibibazo by'imihangayiko.",anxiety_worry,amod
"Iyo mpuriye n'umuntu runaka cyangwa iyo ngiye mu rugo, mba mfite agahinda cyangwa nkumva ncitse intege. Iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse",sadness_low_mood,amod
"Ndi ingimbi. Mfite imyaka myinshi mpanganye n'ibihe bikomeye byo kwiheba (niba ari byo rwose) buri gihe birushaho kuzamba. Mfite ibitero by'ubwoba, numva ntashobora gutegeka ubwoba bwanjye, kandi sinashobora no kwitekerezaho niba nzongera kubaho cyangwa gupfa. Ikibazo ni uko ntazi uwo nagombye gusaba ubufasha. Iyo ngerageje kuvugana n'ababyeyi banjye, ndakonja rwose kandi nta kindi nshobora gukora uretse gusetsa kuko nta na rimwe mu buzima bwanjye twaganiriye ku byiyumvo byacu.",overwhelmed_identity,amod
Numva ndi umunebwe kandi nta cyo nshaka.,sleep,amod
"Mu mwaka ushize, inshuti zanjye ebyiri z'inkoramutima n'iz'inkoramutima gusa, zavuye mu bihugu bitandukanye. Ubu nta muntu n'umwe nshobora guhura na we. Buri gihe ndi jyenyine, kandi sinigeze nsanga undi kuva aho bavuye. Ndi mu bwigunge bukomeye. Nakora iki ngo nkunde abandi? Kubera ko bavuye mu bindi bihugu kandi nta nshuti mfite, numva nihebye cyangwa ikindi kintu. Nkeneye gusa ubufasha.",sadness_low_mood,amod
Ni jyewe kibazo. Ndatuma umuryango wanjye urwana kubera jye. Mama na we arabivuga. Ni uko bigenda buri gihe. Ni jye uteza ibibazo. Ndi umunyabyaha. Sinashobora kureka kurira. Rimwe na rimwe njya ndira ndaryama. Sinashobora no kuva mu cyumba kuko umuryango wanjye udashobora kunyihanganira.,sleep,amod
"Iyo umuntu atangiye kugira agahinda kenshi, ubwenge bwe bukagenda ibirometero bibarirwa mu bihumbi buri minota. Rimwe na rimwe, ibintu bimara iminsi bike nta kibazo. Nyuma y'igihe gito, ntangira kubona ko mpita mpindura uko mbyumva. Nyuma y'icyumweru, imihangayiko igaruka, kandi ikomeza kwiyongera.",overwhelmed_identity,amod
Ndi mu kaga cyane. Nzakora iki ngo mbone uwo tuganira?,sadness_low_mood,amod
Buri gihe mba mfite imimerere mibi kandi nta mbaraga mfite.,sadness_low_mood,amod
"Ndi mu kigero cy'imyaka ya nyuma y'amabyiruka, nkabana na papa. Igihe cyonyine njya hanze ni mu masomo yanjye ya kaminuza. Rimwe na rimwe iyo mbonye incuti zanjye nshaka kuvugana na zo, ariko hari igihe ntashaka kuvugana na zo iminsi cyangwa se ibyumweru. Hari igihe numva ko nta cyo nkwiriye kumenya cyangwa ko ntazigera nkora ikintu cyiza.",sadness_low_mood,amod
"Iyo umuntu asinziriye, yumva afite ikibazo cyo gusinzira, kandi buri gihe aba ashonje cyane cyangwa nta nzara afite. Nanone ararakara, akumva ashaka kurira bidatinze nta mpamvu.",self_care_coping,amod
"Ndi ingimbi, ndumva mfite ibyiyumvo bikomeye (ariko ndabihisha), hanyuma nkaba nta cyo numva - gusa nta kintu na kimwe mfite, nta n'ibyiyumvo mfite. Mfite ibibazo byo kwizerana, kwiyemera hasi, kuba ntinya cyane ko umuntu atagomba kumutabara, kandi mpora nsubiraho gusuzuma imishyikirano mfitanye na we.",sadness_low_mood,amod
"Hari igihe nari mfite ibibazo byinshi byo kurera abana, ubu mfite ibibazo byinshi. Hari abantu bashobora kutekereza ko ari byo, ariko kuri jye ni byinshi. Numva ndemerewe. Ese ibi bishobora kuba ari agahinda?",overwhelmed_identity,amod
"Ndumva ubuzima bw'umuntu mukuru burimo kumutera kwiheba kandi akenshi turyama mu mpera z'icyumweru kugeza saa kumi n'ebyiri z'umugoroba. Turarya gusa, turanywa urumogi, turareba filime, kandi akagenda kuri telefoni ye umunsi wose.",sleep,amod
"Mama arankangisha iyo mvuze ko ntashaka kumuvugisha ku kibazo cy'agahinda mfite. Mu gihe cyahise ntiyigeze amfasha kandi ntabwo ari umuntu numva nisanzuye kumubwira. Akomeza kugerageza kumfasha kuganira ambwira ibibazo ntashaka cyangwa ntashobora gusubiza. Mbabwira ko ntashaka kuvuga, atangira kunshinja amakimbirane. Namugororera nte?",sadness_low_mood,amod
Gusa numva mfite agahinda kenshi kandi nta muntu n'umwe nkunda mu muryango wanjye.,sadness_low_mood,amod
"Nta kintu na kimwe numvise uretse imihangayiko, ndetse no kuri jye.",overwhelmed_identity,amod
"Nzi ko ngomba guhangana n'ikibazo cy'agahinda mfite, ariko sinzi uko mbikora kandi sinshaka kubimenyesha umuntu.",sadness_low_mood,amod
Ubu ndwaye indwara itazigera irangira kandi numva ubuzima bwanjye butazigera buhinduka. Numva ndi jyenyine kandi nta wundi mfite. Ni gute nshobora kunesha ikibi kandi nkamenya kugira ibyishimo jyenyine?,relationship_support,amod
"Ubu se ko batakiriho, numva mfite agahinda, ubu hashize amezi abiri ariko mbona ntashobora gukomeza kuba umuntu mwiza kandi wigenga?",overwhelmed_identity,amod
"Numva mu mutima wanjye mpora ndira. Ku rundi ruhande, ndi umuntu utuje, ariko mpora mfite ibyiyumvo bikomeye, bidasanzwe. Sinumva mfite agahinda. Sinarira cyane. Numva mu byiyumvo bwanjye ntari kure y'ibyo mpora ndira.",sadness_low_mood,amod
"Sinigeze nshobora kuganira n'ababyeyi banjye. Ababyeyi banjye bari mu myaka mirongo itandatu y'amavuko nkiri umwangavu. Ndabakunda bombi ariko sinkunda kamere yabo. Numva ko batanyumva mu buryo bwuzuye igihe cyose mvuga ku kintu gikomeye mu buzima bwanjye. Niba papa atanyemera, mama ajya hamwe na papa akigira nk'aho na we atanyemera. Ndi umunyabitsina gabo, ariko sinshobora kwiringira ababyeyi banjye. Narwanye n'agahinda, ariko stress n'imihangayiko biranshyira mu kaga.",sadness_low_mood,amod
"Sinzi uko mbisobanura, icyo navuga ni uko numva nta cyo maze, nta cyo numva.",sadness_low_mood,amod
"Abantu babaye ababyeyi mu buzima bwanjye, mu gihe cyahise, barandenganyije, kandi bamwe bakomeje kubikora. Binyereka ko ntari mwiza bihagije ku mugabo wanjye cyangwa ku buzima ampa. Nari mfite akazi, ariko nkora ibintu byinshi by'ubupfapfa mu gihe cyahise, ngerageza kumenya igihe byose byahise bihinduka nabi. Igihe cyose mbwira ibyo bintu, birashoboka ko nzarangiza icyo kibazo. Abo ni abantu udashobora guca mu nzira gusa, ariko sinigeze menya gusaba imbabazi ku mibabaro yanjye myinshi. Sinzi icyo nakora.",relationship_support,amod
Ndi mu bihe bikomeye cyane kandi ndumva nihebye cyane ababyeyi banjye baratana kandi ibintu bibi birimo kuba.,overwhelmed_identity,amod
"Mfite ikibazo cy'ihungabana ryiyongereye cyane. Byose byatangiye igihe nari mu mashuri yisumbuye. Mu mwaka wa 9 umukuru w'ishuri yambwiye ko ngomba kumara iminsi mike mu rugo kugira ngo nirinde mu gihe yavuganaga n'abanyeshuri bagenzi banjye. Nabaga nkeneye ubufasha bw'umunyamwuga mu guhangana n'ihungabana kubera ko nari mfite amarira menshi kubera imihangayiko yo kujya mu ishuri no guhangana n'abanyeshuri bagenzi banjye. Nyuma yaho, namaze imyaka ibiri nta kibazo.",self_care_coping,amod
"Mfite igihe kinini ndwaye ibibyimba. Nagiye ngerageza kubikemura, kandi umukunzi wanjye ni we mbaraga zanjye. Ni ukuri ni we muntu wenyine nizeraga ku buryo nshobora kuvugana na we ku kintu icyo ari cyo cyose, ariko yafashe umwanzuro wo gutandukana nanjye kubera agahinda mfite. Sinashoboraga kubona umwarimu cyangwa ikindi kintu icyo ari cyo cyose, bityo ntiyabonaga ko hari icyizere cyo kuguma hamwe nanjye. Umwishingizi wanjye ufite amafaranga 5000 y'ubuvuzi, bityo ndananirwa.",sadness_low_mood,amod
"Amaze kuva mu bitaro, yararakaye, nyuma yaho amara igihe kirekire mu buryo butangaje, ariko noneho yongeye kwiheba kandi nta byiringiro afite.",sadness_low_mood,amod
"Buri gihe numva ko hari ikintu kibi ndimo nkora, ibyo nkora byose ni bibi, nifuza kurira igihe cyose, sinashobora kurya cyangwa kuryama.",sleep,amod
"Mfite agahinda kenshi. Mfite imyaka myinshi. Ndahisha buri wese kuko ntinya uko nzakwirakwiza. Igihe naherukaga kubwira ababyeyi banjye, hari impaka zikomeye z'uko nari nkiri muto cyane ku buryo ntashoboraga kwiheba (ndi umuntu mukuru wemewe n'amategeko), ko ntashimira, kandi ko nari kubwira ko niba ntashobora guhangana n'ibintu ubu, bizagenda birushaho kuzamba mu gihe kizaza (biki bikaba biboneka ko ari ukuri).",sleep,amod
"Nagiye ngerageza ku barwayi b'indwara zitandukanye n'imiti, ariko nta cyo byamfashije.",sadness_low_mood,amod
"Yambwiye ko azagerageza ariko ntiyigeze abikora. Hashize amezi icyenda, kandi ibi birandusha uburemere. Uyu munsi, yavuze ko ngomba kubaha icyemezo cyose afata. Ese ni byo? Ese nagombye kubaha icyemezo cyo kugenda kuko adashobora kwihanganira ibyo mpura na byo kandi akandeka hano ndira kandi mpangayitse buri joro?",overwhelmed_identity,amod
"Ndi mu myaka 50 y'amavuko. Sinigeze nkunda cyangwa nkundwa. Nkeneye ubufasha bwimbitse kurusha uko nabwiwe mu mujyi muto wanjye, ariko sinshobora kuva muri uyu mujyi kubera agoraphobia. Ndushaho gutakaza icyizere. Ubwonko bwanjye burakora cyane, kandi ubushobozi bwanjye bwo kwibuka bugabanuka cyane, nibagirwa mu kanya gato. Nta ntego mfite. Sinashobora gukora cyangwa gukora ikintu cy'agaciro, kandi sinigeze mbikora. Ndi imfabusa y'igihe n'umutungo, ariko nkomeza kugerageza. Kuki? Kuki Imana itera inkunga yo gukomeza kubaho?",sleep,amod
"Ababyeyi banjye bombi biyahuriye hamwe, kandi ni jye wabashyizeho. Mfite indwara yo kwiheba cyane, ikagira ingaruka zikomeye ku buzima bwanjye no ku buzima bw'umugabo wanjye mu by'ibitsina.",overwhelmed_identity,amod
"Iyo ntari kumwe n'umukunzi wanjye, ntangira kumugirira inzika. Afite abana batatu, kandi ni abana beza, ariko nsanga nta mwanya munini tumarana. Ndumva ndwaye indwara y'ihungabana kandi numva nihebye.",overwhelmed_identity,amod
"Iyo ndi kumwe n'incuti, umuryango, ku kazi, kandi cyane cyane ndi jyenyine, ntashobora gutekereza neza. Sincyumva ko ndi umuntu.",sleep,amod
Ndizera ko mfite agahinda n'agahinda. Mfite n'amajwi mu mutwe. Mfite ibibazo byo gusinzira. Mfite ikibazo cyo guhorana ubwenge n'ubushotoranyi. Mfite ubumuga bwo kwibabaza mu gihe cyahise kandi kera nifuzaga kwiyahura. Ni gute nabwira abantu ibyo maze nkabasaba ubuvuzi?,sleep,amod
"Ndi mu bwigunge, kandi vuba aha naratandukanye n'abandi. Ni nk'aho buri mugabo wese nkunda aba ashaka ko nkora imibonano mpuzabitsina gusa. Ntekereza ko ndi mubi, kandi rimwe na rimwe nifuza gupfa. Mfite umuhungu, kandi narakuze cyane igihe nari ntwite. Mfite ibikomere ku nda.",sadness_low_mood,amod
"Sincyari uko ndi, sinzi uko nsubira aho ndi, ndi umunyacyaha, mfite agahinda, ndashavuye kandi ndambiwe, sinasinzira neza.",sleep,amod
"Mu gihe cy'imyaka myinshi, nagiye ndushaho gutakaza ibintu byose: akazi, imodoka, umudendezo n'amafaranga. Ndi umubyeyi ukorera mu rugo, nta mafaranga akora, nta modoka afite, ntajya hanze kandi buri munsi akora isuku.",overwhelmed_identity,amod
"Hari igihe mba nta mwanya wo kubaho cyangwa ngo nitwararike, ibyo bituma ndwara indwara yo kwiheba, imihangayiko no kwiheba.",self_care_coping,amod
"Imyaka ibiri ishize, natandukanyijwe n'igisirikare kubera ibibazo by'ubuvuzi. Ibyo byanshenye mu byiyumvo. Ubu mu by'ukuri niyanze. Birambabaza kuba natandukanyijwe n'aho umuntu wese ajya. Umuryango wanjye wari mu gisirikare, kandi buri gihe ni inzozi zanjye. Sinashobora gukora ibi jyenyine, kandi ubu umuryango wanjye uritotezwa.",overwhelmed_identity,amod
"Numva nihebye nubwo nkora nk'umuntu wishimye mu muryango wanjye. Nkunda kumera nk'umuntu wishimye kugira ngo umuhungu wanjye atambona ndi mu gahinda. Nkunda kumera nk'umuntu wishimye mu buzima bwanjye, ariko numva ndi mu gahinda n'agahinda. Rimwe na rimwe ntekereza kwiyahura kandi ko umuryango wanjye ukwiriye umuntu mwiza kundusha. Ndarira nkandika muri icyo gitabo ibyo byiyumvo byose.",overwhelmed_identity,amod
"Ndi mu bwishingizi bw'ababyeyi banjye, kandi ntibanyemerera kujya kwa muganga kuko batemera ko ari byo.",sleep,amod
"Iyo mfite agahinda kandi ndi jyenyine, nifuza kwicira.",overwhelmed_identity,amod
"Mfite inshuti, umuryango, mba mu rugo rwiza, njya mu ishuri ryisumbuye ryiza, kandi mbona amanota meza, ariko sinzi impamvu ntishimye cyane. Abo nshuti ni incuti zanjye nziza kandi bose ni abantu batangaje, nyamara buri gihe mba mfite agahinda kandi numva ndi jyenyine.",sadness_low_mood,amod
"Ntekereza ko nshobora kuba ndwaye indwara yo kwiheba. Ariko icyo nibaza ni uko ntari mu kababaro. Nshobora gusetsa incuti zanjye n'ibindi, ariko sincyitaho akazi kanjye, kandi ntangiye gutekereza ko ubuzima nta cyo buvuze. Sinzi niba koko nkeneye ubufasha, cyangwa niba gusa ndambiwe cyangwa ikindi kintu.",sleep,amod
"Mu mezi icumi ashize, narirukanywe, njya gutembera inshuro eshatu, nkora akazi kenshi, ntongera kwiga kugira ngo mbone amafaranga, papa na mama barwaye, baransenze mu gihe nari ntwite, mpfusha umwana, mpura n'ibibazo mu mishyikirano, kandi naragambaniwe.",overwhelmed_identity,amod
"Numvaga nta cyo maze, numva nta cyo maze kandi numva ncitse intege, nifuzaga gutsemba ibintu, kwikubita, guhunga, gukubita, kurira no kurira, nifuzaga gusa kongera kugira ibyishimo no kugira icyo nkora, nifuzaga kwita ku mukobwa wanjye no kubaho neza.",self_care_coping,amod
"Iyo ndi mu biganiro, nkomeza kumva ndemerewe kandi ntekanye. Imirimo nagiye nkora kera yantereranye kubera ko ntakora neza, kandi abakoresha banjye batanu banteye umugongo nyuma y'ibizamini byinshi by'imico n'ibiganiro. Ntinya gukomeza kubera ko amakuba yanjye arushaho kwiyongera.",sadness_low_mood,amod
"Numva ntari mu bwenge bwiza. Ndumva umutima wanjye utekanye cyane. Sinanyurwa n'ibyo niyizi cyangwa imyanzuro mfata, ibyo bituma ntanyurwa n'undi muntu uwo ari we wese. Numva nk'umunyabyaha mu minsi yanjye myinshi.",overwhelmed_identity,amod
"Sinzi niba nihebye, sinzi uko nabwira ababyeyi banjye, kandi ibyo bituma numva ncitse intege.",sadness_low_mood,amod
"Nta kintu na kimwe mfite cyo gukora mu buzima bwanjye uretse kuryama kuri telefoni cyangwa guhura n'inshuti yanjye imwe. Nta kazi mfite, umuryango wanjye nta kintu na kimwe unshyiraho, kandi nta nshuti nyinshi mfite. Nta kindi mfite cyo gukora uretse kujya kuri telefoni. Nkunda kuganira n'abantu mu buryo bwa bwite aho kuba kuri interineti. Ndetse n'umuryango wanjye nta bwo mvugana na we mu buryo bwa bwite, kabone n'iyo yaba ari mu kindi cyumba.",relationship_support,amod
"Ubu ntari mfite impamvu zo guhaguruka, sinzi icyo nkora, ndi mu kaga, mfite agahinda n'agahinda, ubuzima bwanjye burimo burushaho kwiyongera.",sadness_low_mood,amod
"Ndyama cyane. Umuzika uhindura imimerere yanjye. Ndarira buri wa Gatatu. Umutwe wanjye umeze nk'ikibanza cy'ibishushanyije, aho nzajya mbura ibyiyumvo byanjye by'ukuri, ahubwo nkumva ibyiyumvo byanjye by'ibinyoma.",sleep,amod
Mfite abana b'impanga. Mfite umuntu nakundaga yapfuye mbere yo kubyara. Naciye ukubiri n'umubyeyi wanjye. Abantu bamubwiye ko anshakisha amafaranga. Umukunzi wanjye wa kera yabaga afite ibibazo bikomeye buri munsi mu gihe cy'imyaka itatu.,sadness_low_mood,amod
"Mfite incuti nyinshi n'abagize umuryango, ariko numva ndi mu bwigunge.",relationship_support,amod
"Ubu mfite ubwoba, kandi ndumva ncitse intege.",sadness_low_mood,amod
"Nta nshuti mfite, nta byishimo mfite, nta kintu na kimwe nshishikaza. Buri kintu cyose n'abantu bose binshuka. Buri gihe ndambiwe, nshobora kuryama amasaha umunani cyangwa 12 kandi ndacyafite intege nke. Sinzi icyo nkora. Ese ibyo ni ibisanzwe?",sleep,amod
"Mfite ibintu byinshi mpangayikishijwe na byo, ariko icyo nshaka ni ugukomeza kuba mu cyumba cyanjye kandi sinjye nshobora gushyikirana n'umuntu uwo ari we wese.",relationship_support,amod
"Mfite ikibazo cy'ihungabana ry'ibikomere mu gihe cy'imyaka myinshi ababyeyi banjye bataramenya. Nashakaga kugitsinda ariko ni ibintu bikomeye cyane, ni nk'aho byongeye kuba. Mfite ubwoba kandi ndumva mfite ubwoba. Mfite ikibazo cy'agahinda, kandi kuva nkiri muto ndakibura.",sadness_low_mood,amod
"Data yapfuye nkiri ingimbi, nta muntu wigeze amfasha, kandi nyuma y'imyaka itanu, numva ntashobora kubyihanganira.",overwhelmed_identity,amod
"Ndi umubyeyi w'umuseribateri. Nkiri umwana, nakorewe ihohoterwa n'umukunzi wa mama. Sinigeze menya data. Natangiye kubyara mfite imyaka 18 nyuma yo kurangiza amashuri yisumbuye. Maze kubyara, naratakaje ubuzima bwanjye bwose maze ngashyira imbaraga zose ku bana banjye. Ubu abana banjye barakuze ariko sinzi uko ndi. Hari igihe nagerageje gushyikirana na bo, ariko bose barananirwa.",overwhelmed_identity,amod
"Buri gihe mbona ibintu birangiye nabi cyane. jye n'umukunzi wanjye ntituvugana, kandi ndavuga ko arandeka. Ndahora ntanabigenje neza mu gihe cyo gukora ibizamini, kandi ndabona igihe cyanjye kizaza kirimo gusenyuka. Nta cyifuzo mfite cyo kugira incuti. Ndahise mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mp",overwhelmed_identity,amod
